import time: self [us] | cumulative | imported package
import time:       107 |        383 |                             rich.file_proxy
import time:       113 |        113 |                             rich.live_render
import time:       327 |        823 |                           rich.live
import time:       134 |        134 |                           rich.progress_bar
import time:       222 |        222 |                             rich._spinners
import time:       283 |        283 |                               rich.box
import time:       213 |        213 |                               rich._ratio
import time:       241 |        241 |                               rich.padding
import time:      1261 |       1997 |                             rich.table
import time:       229 |       2448 |                           rich.spinner
import time:      1130 |       5648 |                         rich.progress
import time:       169 |        169 |                             pygments.filter
import time:       280 |        280 |                               pygments.token
import time:       390 |        669 |                             pygments.filters
import time:       252 |        252 |                             pygments.regexopt
import time:       435 |       1524 |                           pygments.lexer
import time:       216 |        216 |                           pygments.style
import time:       258 |        258 |                             pygments.styles._mapping
import time:       258 |        516 |                           pygments.styles
import time:      1115 |       3370 |                         rich.syntax
import time:       490 |      28039 |                       httpx._main
import time:       338 |      38106 |                     httpx
import time:       586 |      38691 |                   langsmith.utils
import time:      1112 |       1112 |                       xxhash._xxhash
import time:       241 |        241 |                       xxhash.version
import time:       223 |       1575 |                     xxhash
import time:       144 |       1718 |                   langsmith._internal._uuid
import time:       285 |        285 |                           requests_toolbelt._compat
import time:       140 |        425 |                         requests_toolbelt.adapters.ssl
import time:      4003 |       4003 |                         requests_toolbelt.adapters.source
import time:       154 |       4581 |                       requests_toolbelt.adapters
import time:       321 |        321 |                         requests_toolbelt.auth
import time:       246 |        246 |                         requests_toolbelt.auth._digest_auth_compat
import time:       155 |        155 |                         requests_toolbelt.auth.http_proxy_digest
import time:       216 |        936 |                       requests_toolbelt.auth.guess
import time:       381 |        381 |                         requests_toolbelt.multipart.encoder
import time:       251 |        251 |                         requests_toolbelt.multipart.decoder
import time:       306 |        937 |                       requests_toolbelt.multipart
import time:       115 |        115 |                       requests_toolbelt.streaming_iterator
import time:       157 |        157 |                         requests_toolbelt.utils
import time:       142 |        298 |                       requests_toolbelt.utils.user_agent
import time:       147 |       7013 |                     requests_toolbelt
import time:       193 |        193 |                       langsmith.env._git
import time:        38 |         38 |                         psutil
import time:       270 |        308 |                       langsmith.env._runtime_env
import time:        96 |        596 |                     langsmith.env
import time:      1093 |       1093 |                         orjson.orjson
import time:       112 |       1204 |                       orjson
import time:       103 |       1307 |                     langsmith._internal._orjson
import time:       638 |        638 |                     langsmith._internal._profiles
import time:       386 |        386 |                           multiprocessing.process
import time:      1080 |       1080 |                             array
